Timestamp,Price_A,Price_B,Volume
2025-01-01 09:30:00.323950550,100.02506674680451,99.95235577425643,64
2025-01-01 09:30:02.050713261,100.17519148031145,99.7942404781032,10
2025-01-01 09:30:02.227945330,99.94607337798885,100.06702032285386,55
2025-01-01 09:30:02.249197399,100.15844080358397,100.15983406640099,19
2025-01-01 09:30:04.077640488,100.30095636598111,99.99443160913859,69
2025-01-01 09:30:04.134805072,100.3357229431684,100.18894098231792,40
2025-01-01 09:30:04.211288376,100.31946516688998,100.08528484354025,39
2025-01-01 09:30:07.608648185,100.13127012776856,100.12765413709508,31
2025-01-01 09:30:13.189052571,100.2768126310641,100.05128960719107,75
2025-01-01 09:30:13.943151204,100.05124198397574,100.40053173590601,87
2025-01-01 09:30:15.551798045,100.20710185547634,100.16268422013387,34
2025-01-01 09:30:16.906266534,100.16175466279594,100.1254769425132,27
2025-01-01 09:30:17.640055662,100.18397500784596,100.00767624682915,52
2025-01-01 09:30:18.084460429,100.20129122295285,100.15665061401248,20
2025-01-01 09:30:20.881412595,100.17581085278769,100.3433869415593,48
2025-01-01 09:30:21.352780199,100.22436186276971,100.09592708170527,70
2025-01-01 09:30:22.434928132,100.17698301417894,100.42882749218461,15
2025-01-01 09:30:24.012384134,100.27161452256313,100.05715692938031,95
2025-01-01 09:30:24.234733258,100.33594945075637,100.29958160362943,12
2025-01-01 09:30:24.452277976,100.12636557106944,100.2912392073998,12
2025-01-01 09:30:25.507333646,100.06305854202137,100.21692134407648,12
2025-01-01 09:30:25.724792955,100.24294476892294,100.24853057006705,88
2025-01-01 09:30:25.781396561,100.09160694095596,100.31081296834681,21
2025-01-01 09:30:27.161998483,100.20588200901524,100.23439385007293,24
2025-01-01 09:30:28.741523582,100.37304093367159,100.28560563222409,67
2025-01-01 09:30:29.070863111,100.11298723039185,100.2888140945552,1
2025-01-01 09:30:29.486850746,100.17864546367585,100.31110453437364,41
2025-01-01 09:30:29.863441038,100.39415870110011,100.3572681575899,79
2025-01-01 09:30:30.568583282,100.3999689603162,100.2285816211416,52
2025-01-01 09:30:30.672740736,100.3323245666631,100.3367444318476,39
2025-01-01 09:30:30.737042155,100.15023353694667,100.14093465672211,59
2025-01-01 09:30:31.641502937,100.24231278043752,100.34780197547168,92
2025-01-01 09:30:32.594128322,100.10173780350289,100.29360200510298,13
2025-01-01 09:30:32.647199072,100.11201697410787,100.19037369071701,52
